Title;Abstract;Focus area(s);Geographical coverage;Type of resource;Entity;Publication date;Authors;DOI/URI;Tags;
Why aren't more Lebanese women working?;"Ensuring equitable access to jobs and reducing gender gaps is essential for putting MENA countries on the path to inclusive growth and stability. Giving women and girls the opportunity to succeed can transform societies and economies. Reducing gender gaps in employment can help economies diversify their exports; appointing more women onto banking supervision boards can challenge cozy group-think; and tackling gender inequality can reduce income inequality, which, in turn, can drive more sustainable growth. Improving access to jobs for women is also expected to generate positive externalities to the society, by facilitating human capital accumulation, health and nutrition gains for children through increased women-controlled incomes.";Access to Jobs, Human Capital;Middle East;Technical note;World Bank Group;Jan-18;"Elzir, Angela; Sayed, Haneen Ismail";http://documents.worldbank.org/curated/en/919711526913175663/Why-arent-more-Lebanese-women-working;Employment Access & Opportunities, Health, Education, Private Sector;
The impact of soft skills training on female youth employment: evidence from a randomized experiment in Jordan;Employers around the world complain that youth lack the soft skills needed for success in the workplace. In response, a number of employment programs have begun to incorporate soft skills training, but to date there has been little evidence as to the effectiveness of such programs. This paper reports on a randomized experiment in Jordan in which female community college graduates were randomly assigned to a soft skills training program. Despite this program being twice as long in length as the average program in the region, and taught by a well-regarded provider, we find soft skills training does not have any significant employment impact in three rounds of follow-up surveys. We elicit expectations of academics and development professionals and reveal that these findings are novel and unexpected.;Access to Jobs, Human Capital;Middle East;Article;World Bank Group;Jan-16;Groh, Matthew & Krishnan, Nandini & McKenzie, David & Vishwanath, Tara;https://doi.org/10.1186/s40175-016-0055-9;Employment Access & Opportunities, Education;
How does poverty differ among refugees? Taking a gender lens to the data on Syrian refugees in Jordan;Many reports document the hardships experienced by refugees, highlighting that women and children are a highly vulnerable group. However, empirical analysis of how gender inequality impacts poverty among refugees is limited. We combine registration data for Syrian refugees in Jordan collected by the United Nations High Commissioner for Refugees with data from its Home Visit surveys to analyze income poverty rates among refugee households. We use an approach that captures the disruption to household structures that results from displacement to evaluate the poverty impacts, comparing refugee households with male and female principal applicants (PAs). We find that distinguishing between different types of principal applicant households is important. Half of the female PAs for nonnuclear households live below the poverty line compared to only one-fifth of male PAs for nonnuclear household. PAs who are widows and widowers also face high poverty risks. Households that have formed because of the unpredictable dynamics of forced displacement, such as unaccompanied children and single caregivers, emerge as extremely vulnerable groups. We show that differences in household composition and individual attributes of male and female PAs are not the only factors driving increased poverty risk. Gender-specific barriers which prevent women accessing labor markets are also a factor. Our findings show that gender inequality amplifies the poverty experienced by a significant number of refugees. Our approach can be used to help policy-makers design more effective programs of assistance and find durable solutions for displaced populations.;Other;Middle East;Article;World Bank Group;Jan-20;"Hanmer, Lucia;ĘRubiano, Eliana;ĘSantamaria, Julieth; Arango, Diana";https://doi.org/10.1080/17938120.2020.1753995;Migration, Poverty, Other;
Mashreq: Maximizing the Impact of Gender-Lens Investing and Business Practices for Forcibly Displaced Women;"The economic empowerment of forcibly displaced women (FDW) can contribute to greater resilience and improved livelihoods for both displaced people and host communities. The Mashreq gender facility (MFG) focuses on mechanisms to support the economic inclusion of FDW. This brief highlights lessons learned from support to on-the ground activities, including actions to adopt a stakeholder-groups approach in investing; boost entrepreneurship; overcome barriers of employment access; provide tailored services and products; create an enabling environment; and generate disaggregated indicators to measure results.";Access to Jobs, Access to and Use of Services;Middle East;Brief;World Bank Group;Jan-22;"Hemenway, Daniel Roe; Kalidi, Djeina Issa; Lundvall, Jonna Maria";http://documents.worldbank.org/curated/en/099525111292225887/IDU00099f86301b03044050bcfa0b2020544e1f3;Entrepreneurship, Economic Empowerment, Employment Access & Opportunities, Migration, Basic Services;
Trends and Determinants of Female Labor Force Participation in Morocco : An Initial Exploratory Analysis;The U-shape theory argues that at early stages of development, countries experience a reduction in the female labor force participation, eventually followed by a recovery. In Morocco, female labor force participation is now lower than it was two decades ago due to several factors that are discussed in the paper. There is also a persistent 50-percentage-points gender gap in labor force participation rates, despite improvements typically related to development and female inclusionŃsuch as a higher gross domestic product per capita, lower fertility rates, and better access to education. At the same time, urban job creation has not been able to offset rural job destruction nor the increase in the working age population for both genders. Using data from the Moroccan Labor Force Survey, the World Values Survey, and the Arab Barometer, probit models and a multinomial logit are estimated to explore the challenges affecting female insertion into the labor market. The findings show that higher educational attainment increases the probability of female participation, but this relationship has decreased over time, not being enough to offset other obstacles caused by other individual and household characteristics. Being married and the presence of other inactive women are found to decrease female participation. The educational level of the head of household (typically men) increases female inactivity, suggesting that potentially gender roles may drive women out of the labor market and slow the recovery in women's participation.;Access to Jobs, Human Capital;North Africa;Working paper;World Bank Group;Jan-21;"Lopez-Acevedo, Gladys; Devoto, Florencia; Morales, Mat’as; Roche Rodriguez, Jaime";https://docs.iza.org/dp14218.pdf;Employment Access & Opportunities, Norms, Education;
Middle East and North Africa - WomenŐs Economic Participation in Iraq, Jordan, and Lebanon;"Female labor force participation in the Mashreq is exceptionally low, a problem likely to be exacerbated by the COVID-19 pandemic. This report calls for action in the following areas: stronger economic growth, effective policy action to close legal gaps, promotion of more egalitarian attitudes, access to quality childcare, and the provision of safe transportation. The report also notes significant opportunities in the digital
economy; however, without action to close the digital gender gap, those opportunities could become another barrier.";Access to Jobs, Access to and Use of Services;Middle East;Report;World Bank Group;Jan-20;"Lugo,Maria Ana; Muller,Miriam; Wai-Poi,Matthew Grant";https://documents1.worldbank.org/curated/en/933641600751429640/pdf/Middle-East-and-North-Africa-Women-s-Economic-Participation-in-Iraq-Jordan-and-Lebanon.pdf;Legislation, Care, Basic Services, Children, Transportation & Mobility, Norms, Employment Access & Opportunities;
The Status of Women in Lebanon: Assessing Women's Access to Economic Opportunities, Human Capital Accumulation and Agency;This report provides an up-to-date, holistic reference on the state of women in Lebanon against the broader perspective of general development outcomes while taking into consideration the multiple crises the country is facing. The report presents a data-driven analysis of three key dimensions of gender equality: economic opportunities (including livelihoods), human capital accumulation and agency, and includes a discussion of contextual factors related to institutions and the market underpinning all three dimensions. Specific challenges that refugee women and girls face are also covered and, where data is available and relevant, the report discusses the impacts of the COVID-19 (coronavirus) pandemic. Based on the thorough assessment, three priority areas for action to address gender gaps and promote womenŐs empowerment are identified: i) policies & programs: supporting policies and programs that boost women's employment and entrepreneurship towards a more equal 'future of work' economy, ii) collaboration: engaging with a diverse set of actors to capitalize on momentum for change towards gender equality, and iii) knowledge: unpacking data to strengthen the impacts of reforms and service delivery benefits to women.;Human Capital, Other;Middle East;Report;World Bank Group;Jan-21;World Bank and UN Women;http://hdl.handle.net/10986/36512;Economic Empowerment, Education, Health, Migration, External Shocks, Entrepreneurship;
Progress Towards Gender Equality in the Middle East and North Africa Region;;Other;Middle East, North Africa;Technical note;World Bank Group;Jan-17;World Bank;https://documents1.worldbank.org/curated/en/801561511848725797/pdf/121679-WP-27-11-2017-15-23-11-MNAProgressTowardsGenderEqualityFINALSept.pdf;Other;
Hidden Voices Speak Louder Than You Think : A Behavioral Science Lens for Understanding Female Labor Force Participation in Jordan;This report uses a behavioral science lens to examine attitudes towards female labor force participation in Jordan.;Access to Jobs;Middle East;Report;World Bank Group;Jan-20;World Bank;http://documents.worldbank.org/curated/en/136861587532669653/Hidden-Voices-Speak-Louder-Than-You-Think-A-Behavioral-Science-Lens-for-Understanding-Female-Labor-Force-Participation-in-Jordan;Employment Access & Opportunities, Norms, Other;
Overcoming Barriers to WomenŐs Economic Empowerment in the Philippines;Gender equality is intrinsically linked to sustainable and inclusive growth and development. In recent years, the PhilippinesŐ legal framework has helped move the country toward gender equality. The Philippines has embraced gender equality among its current policy priorities. Increasing female labor force participation is instrumental for accelerating economic growth and fulfilling the PhilippinesŐ aspiration to achieve upper-middle-income status. Despite an extensive literature analyzing the drivers of and obstacles to - womenŐs labor force participation worldwide, and some empirical evidence of correlation for several factors, there is no conclusive consensus on which factors universally matter. This report aims to contribute to a better understanding of gender inequalities in the PhilippinesŐ labor market to help inform strategies to promote womenŐs economic opportunities. The report is not intended to comprehensively address all factors affecting female labor force participation, but instead focuses on a subset of determinants of female labor force participation: education, childcare, and social norms. The selected determinants are those supply-side factors identified as being of particular interest in the country gender action plan (CGAP), as well as in the recent literature, and are not as well understood as other determinants.;Access to Jobs, Human Capital, Access to and Use of Services;Southeast Asia;Report;World Bank Group;Jan-21;"Belghith, Nadia Belhaj Hassine; Lavin, Benjamin Aaron; Lapalombara, Hannah Frohman";http://documents.worldbank.org/curated/en/099830103012227161/P173002056f08e0a909afd0d7c9f381c4d3;Care, Norms, Children, Economic Empowerment, Employment Access & Opportunities, Education;
Women Childcare and Social Norms in the Philippines;Even with significant economic progress and high levels of gender equality, female labor force participation remains persistently low in the Philippines, with less than half of women in the labor market. Childcare and social norms limit Filipinos womenŐs labor force participation. Family responsibilities also influence the types of employment women engage in. The Coronavirus disease 2019 (COVID-19) pandemic disrupted established patterns of work and school, accelerating the adoption of distance learning and remote work where possible. Results from the 2021 women work and childcare survey reveal that womenŐs reluctance to join the labor force seem to be based on beliefs about the role of women in the household as well as the belief that mothers working outside the home can negatively affect children. Addressing gendered social norms with policies is challenging, but the literature points to interventions such as media campaigns, behavior change communication, and attitude change interventions as possible solutions to shifting cultural norms about womenŐs work and to narrowing gender gaps in the labor market. While the changing nature of work with the COVID-19 pandemic has increased the weight of domestic work on women, it also presents new opportunities to raise womenŐs participation in the labor market.;Access to and Use of Services, Access to Jobs;Southeast Asia;Brief;World Bank Group;Jan-21;"Belghith, Nadia Belhaj Hassine; Fernandez, Francine Claire Chang";http://documents.worldbank.org/curated/en/099830003012240232/P1730020c322d10d30a7e500df58cd6f3bd;Care, Norms, Employment Access & Opportunities;
Overcoming Poverty and Inequality in the Philippines: Past, Present, and Prospects for the Future;"In the past three decades, the Philippines has made remarkable progress in reducing poverty. Driven by high growth rates and structural transformation, the poverty rate fell by two-thirds, from 49.2 percent in 1985 to 16.7 percent in 2018. By 2018, the middle class had expanded to nearly 12 million people and the economically secure population had risen to 44 million. This report is intended to inform public debate and policymaking on inequality in the Philippines. It synthesizes core findings from background analyses of the patterns of inequality and poverty and provides policy pointers. The analysis uses a wealth of data from a variety of sources (detailed in Appendix A). In what follows, section two discusses the poverty and inequality impacts of COVID-19. Section three analyzes what has been driving poverty and inequality over the past three decades. Section four discusses the structural causes of current inequality; and section five examines how they affect recovery patterns. The last section discusses how policy can promote equality and inclusive recovery.";Other;Southeast Asia;Report;World Bank Group;Jan-22;"Belghith, Nadia Belhaj Hassine; Fernandez, Francine Claire Chang; David, Clarissa Crisostomo";http://documents.worldbank.org/curated/en/099325011232224571/P17486101e29310810abaf0e8e336aed85a;Poverty;
Towards an Inclusive Recovery from COVID-19 Impacts: A Policy Brief;Coronavirus (COVID-19) partly reversed gains made in three decades of sustained decline in poverty and a decade of accelerated reduction in inequality in Philippines. Although the economy is recovering gradually, there are signs that the recovery may be uneven. Income recovery also seems to be slower for the poor. The COVID-19 pandemic may have long-term negative impacts on development of human capital. To manage the pandemic shock, a considerable number of poor households have relied on such adverse coping mechanisms as reducing food consumption, which may aggravate already prevalent child malnutrition and stunting. Policy needs to be directed to support an inclusive recovery and to address enduring medium to long term impacts of the COVID-19 pandemic.;Human Capital, Other;Southeast Asia;Brief;World Bank Group;Jan-22;"Belghith, Nadia Belhaj Hassine; Piza, Sharon Faye Alariao; Fernandez, Francine Claire Chang";http://documents.worldbank.org/curated/en/099235011232235838/P174861029f3bb01908c570ace560522e7d;External Shocks, Health, Education, Poverty;
Structural Transformation, Job Polarization and Inequality in the Philippines: A Policy Brief;Over the past three decades the Philippines has made great progress in poverty reduction and income growth, but only recently has inequality begun to fall. Before the COVID-19 pandemic, structural transformation had seen a shift of less-educated workers to more productive sectors and occupations, leading to more inclusive growth. Nevertheless, large gaps between education groups persist. The slow expansion of tertiary education has caused a large skill premium. The shock from the COVID-19 pandemic led to a significant shift in the workforce toward less productive sectors and occupations. Signs of wage job polarization have emerged in recent years and could heighten as the nature of work changes. The Philippines can leverage the crisis generated by the pandemic to promote necessary reforms to support skills development and promote inclusive recovery.;Human Capital;Southeast Asia;Brief;World Bank Group;Jan-22;"Belghith, Nadia Belhaj Hassine; Fernandez, Francine Claire Chang; Jandoc, Karl Robert Lasmarias";https://documents.worldbank.org/pt/publication/documents-reports/documentdetail/099702010182235861/idu0e2356edb0ea610434709c7001fb48c9d1eb6;External Shocks, Productivity, Employment Access & Opportunities, Other, Poverty;
Social Norms and Gender Equality: A Descriptive Analysis for South Asia;Despite decades of economic growth, gender inequality in South Asia remains remarkably high. Although not the only one, social norms are a crucial driver of various gender outcomes, including differential economic participation. Using repeated cross-sectional data from nationally representative surveys, this paper explores the long term trends of gender outcomes and social norms (proxied by attitudes towards gender roles) in South Asia. The results corroborate the evidence that there has been almost no progress in gender equality in South Asia over the past half-century. There has been little progress on female labor force participation, marriage age, agency, intimate partner violence, and preference for sons, with education being the only exception. The lack of progress is apparent among all socioeconomic groups, including women who live in urban areas, are educated, and have higher incomes. Gender attitudes also remain unchanged, and in some cases, have become more conservative and have a negative relationship with gender outcomes. Better measurements of social norms and better understanding of how their constraining role can be loosened may be critical for achieving gender equality in the region.;Access to Jobs, Other;South Asia;Working paper;World Bank Group;Jan-22;"Bussolo, Maurizio; Ezebuihe, Jessy Amarachi; Mu–oz-Boudet, Ana Maria; Poupakis, Stavros; Rahman, Tasmia; Sarma, Nayantara";https://doi.org/10.1596/1813-9450-10142;Norms, Economic Empowerment, Employment Access & Opportunities;
Can Boosting Savings and Skills Support Female Business Owners in Indonesia? : Evidence From a Randomized Controlled Trial;There is broad evidence of gender gaps in the productivity of microenterprises, which are in part linked to financial and human capital constraints. Existing literature suggests that interventions simultaneously addressing skills and capital constraints can be effective, but there is little evidence to date exploring the combination of skills and savings interventions. This study tests the relative effectiveness and cost effectiveness of providing supply-side incentives to promote agent banking savings accounts, business and financial literacy training for female entrepreneurs, and the combination of the two on womenŐs businesses and agency in Indonesia. The study took place in four hundred and one villages in East Java in which agent banking products were recently introduced. Although the trial found only small positive effects on the take-up of branchless banking services, both interventions had significant positive impacts on womenŐs profits. The impacts of the training and mentoring intervention seem to come in part from improved business practices, greater savings, increased business assets, and increased decision-making power. Because the high incentives treatment impacted womenŐs profits but not any intermediate outcomes the mechanisms are less clear potentially coming either from a more woman-friendly business environment or through using their husbandsŐ savings or their existing savings to support their businesses. Although the high agent incentives are more cost-effective than the training and mentoring, policy makers may still prefer the demand-side intervention, as it has more positive implications for womenŐs overall empowerment and stronger impacts for the poorest quintile of female entrepreneurs.;Ownership and Use of Economic Assets, Human Capital;Southeast Asia;Working paper;World Bank Group;Jan-20;"Buvinic, Mayra Lourdes;ĘJohnson,HillaryĘC.;ĘPerova,Elizaveta;ĘWitoelar,Firman";http://documents.worldbank.org/curated/en/837561585728764714/Can-Boosting-Savings-and-Skills-Support-Female-Business-Owners-in-Indonesia-Evidence-From-a-Randomized-Controlled-Trial;Entrepreneurship, Productivity, Education, Access to Capital & Productive Inputs, Financial Services & Inclusion;
Caring for Children and Firms? The Impact of Preschool Expansion on Firm Productivity;Childcare services enable women who were previously unable to work due to taking care of their children to join the labor market. If some women are more productive in market work, rather than unpaid household work, the availability of childcare can potentially improve the allocation of talent across different occupations, triggering an increase in productivity. This paper tests this hypothesis using a survey of manufacturing plants and data on preschool expansion in Indonesia. The analysis relies on a triple difference estimation comparing plants in sectors with different degrees of female labor at baseline. The results suggest that between 2002 and 2014, when a rapid preschool expansion took place in Indonesia, an additional preschool per 1,000 children increased the total factor productivity of manufacturing plants by 11 percent for plants with an average fraction of female workers. The paper provides suggestive evidence that these effects were driven by better labor market matching, enabled by the expansion of female labor supply, and greater job stability for female employees. The results unveil a novel short-term economic impact of childcare services, which complements the long-term growth impact through human capital accumulation.;Access to and Use of Services, Other;Southeast Asia;Working paper;World Bank Group;Jan-22;"Cali, Massimiliano; Johnson, Hillary C.; Perova, Elizaveta; Ryandiansyah, Nabil Rizky";https://doi.org/10.1596/1813-9450-10193;Manufacturing, Private Sector, Care, Basic Services, Productivity, Employment Access & Opportunities;
Gender gap in earnings in Vietnam: why do Vietnamese women work in lower paid occupations?;We examine the gender wage gap in Vietnam and show that a non-trivial part of the gap is associated with occupational sorting. We consider three explanations for why occupational sorting emerges. First, we explore whether occupational sorting is driven by gender differences in preferences for non-monetary characteristics of jobs and find that there are indeed differences between the genders in preferences for having a formal contract, insurance, paid leave and shorter hours, which may induce women to forego monetary compensation for these characteristics. Second, we check if occupational sorting among the adult labor force is driven by social norms about gender roles learned and internalized at an early age. To do so we check for evidence of sorting in the aspirations of 12-year-old children by simulating what the gender wage gap would be if boys and girls pursued the occupations they aspire to at 12. And third, for women with higher education, we check if occupational sorting occurs during the school to work transition - if women are less likely to find jobs within their field of study upon graduation. We do not find support for either the second or third hypotheses. Overall, our findings suggest that in Vietnam gender specific preferences for non-monetary job characteristics play a key role in emergence of occupational sorting.;Access to Jobs;Southeast Asia;Working paper;World Bank Group;Jan-18;"Chowdhury, Iffat Ara; Johnson, Hillary C.; Mannava, Aneesh; Perova, Elizaveta";http://documents.worldbank.org/curated/en/717051525869722243/Gender-gap-in-earnings-in-Vietnam-why-do-Vietnamese-women-work-in-lower-paid-occupations;Gender Pay Gap, Employment Access & Opportunities, Education, Other;
Conditional Cash Transfers and Gender-Based ViolenceŃDoes the Type of Violence Matter?;The relationship between intimate partner violence and cash transfer programs has been extensively researched, with a consensus that cash transfers are most likely to reduce intimate partner violence. This study uses a regression discontinuity design to examine the effects of a conditional cash transfer program in the Philippines on three types of gender-based violence: (i) intimate partner violence, (ii) domestic violence by non-partners (such as husband's relatives), and (iii) violence outside home. Although the study finds no significant change in intimate partner violence or violence outside of home, it finds a measurable decline in non-partner domestic violence. The study also examines mediating channels through which conditional cash transfers may affect gender-based violence, proposed in earlier literature, namely: (i) stress reduction due to higher income, (ii) increase in womenŐs empowerment, (iii) increase in women's bargaining power, and (iv) strengthened social networks. The findings provide suggestive evidence of changes in all four mitigating channels. This evidence confirms the potential of conditional cash transfer programs to mitigate gender-based violence beyond intimate partner violence, but indicate that depending on the context, additional interventions may be needed to address specific types of gender-based violence.;Gender-Based Violence (GBV);Southeast Asia;Working paper;World Bank Group;Jan-22;"Dervisevic, Ervin; Perova, Elizaveta; Sahay, Abhilasha";http://documents.worldbank.org/curated/en/099856507072222123/IDU09733c89b0f84e0492609f970a1b1fb55ce51;Gender-Based Violence (GBV), Social Protection;
Long-Term Impacts of Short Exposure to Conditional Cash Transfers in Adolescence: Evidence from the Philippines;This paper evaluates the long-term impacts of the national conditional cash transfer program in the Philippines on beneficiaries who were exposed to it during a relatively short but potentially critical period of transitioning from adolescence to adulthood. The paper estimates the impacts of the Pantawid Pamilyang Pilipino Program on men and women who were enrolled in the program for up to 1.5 years when they were between ages 12.5 and 14 and are currently in their early twenties. The analysis finds evidence of impacts on marriage and fertility for women: participation in the program is associated with delay in marriage and the first birth of approximately one year and six months, respectively. No impacts are found on educational or labor market outcomes or proxies for economic welfare. Further, there is no strong and consistent evidence of changes in empowerment or gender norms.;Other;Southeast Asia;Working paper;World Bank Group;Jan-21;"Dervisevic, Ervin; Perova, Elizaveta; Sahay, Abhilasha";https://openknowledge.worldbank.org/server/api/core/bitstreams/56c686e7-b6fe-5258-9512-8210b02e7573/content#:~:text=The%20analysis%20finds%20evidence%20of,or%20proxies%20for%20economic%20welfare.;Social Protection, Other;
Measuring Women and MenŐs Work: Main Findings from a Joint ILO and World Bank Study in Sri Lanka;Between 2017 and 2019, the International Labour Organization (ILO) and the World Bank, in collaboration with the Department of Census and Statistics (DCS) of Sri Lanka, completed a pilot study in Sri Lanka with the goal of developing guidance on good practice in the measurement of women and menŐs work through household surveys. The study was designed to enable a comparison of the outcomes of two types of household surveys, namely, the labour force survey (LFS) and the multitopic living standards survey (MLSS). This new framework recognizes that people may engaged in multiple working activities within the same period, thereby enabling a complete accounting all work performed. An additional important development was the adoption of an extended set of labour underutilization indicators to supplement the unemployment rate. This report presents a first summary set of the findings of the pilot study. The findings are being used to generate guidance on the measurement of labour across different types of household surveys. While highlighting issues of measurement, the report also emphasizes the valuable data that can be generated if the guidelines and standards are implemented, such as the more comprehensive measurement of all the working contributions of men and women.;Other;South Asia;Study;World Bank Group;Jan-21;"Discenza, Antonio Rinaldo; Gaddis, Isis; Palacios-Lopez, Amparo; Walsh, Kieran";http://hdl.handle.net/10986/36257;Employment Access & Opportunities, Other;
Women Farmers in Timor-Leste: Bridging the Productivity Gap;"While the presence of gender gaps in agricultural productivity is common to many developing countries, understanding the country-specific mechanisms behind them is fundamental for designing policies that can improve the lives of women and men in the agriculture sector. In the present note we estimate the gap in agricultural productivity between female and male farmers in Timor-Leste and examine the factors associated with it. We find that women produce 15 percent less than men per hectare of land and that unequal farm labor and farming tools, lower literacy, limited involvement in cash crop production and farmersŐ groups among women are the most important factors that explain this gap. These findings suggest various avenues of future research and potential policy actions: tailoring agriculture interventions to consider literacy levels of female and male farmers; improving understanding of women and menŐs perceptions of extension services and farming groups, as well as access to tools and labor-saving technology; improving understanding of intra-household decision-making around crop selection and sales alongside analysis of market access, as well as a continued effort to invest in developing capacities in gender-sensitive agriculture dataand analysis. This may improve female farmersŐ productivity and strengthen the agricultural sector in Timor-Leste as a whole.";Ownership and Use of Economic Assets, Human Capital;Pacific;Working paper;World Bank Group;Jan-18;"Gavalyugova, Dimitria Kostadinova; Caminha, Sunita; Verdial, Teresa; Perova, Elizaveta";http://documents.worldbank.org/curated/en/709001543605005333/Women-Farmers-in-Timor-Leste-Bridging-the-Productivity-Gap;Access to Capital & Productive Inputs, Education, Discrimination, Productivity, Agriculture;
Does access to preschool increase womenŐs employment?;Female labor force participation (FLFP) in Indonesia lags behind other countries in the region. Building on previous work that shows that unmet childcare needs are associated with low FLFP in Indonesia, here, we look at the impact of childcare availability on FLFP. The findings suggest that an additional public preschool per 1,000 children raises the employment of mothers of age-eligible children by 13 percent.;Access to Jobs, Access to and Use of Services;Southeast Asia;Brief;World Bank Group;Jan-18;"Halim, Daniel Zefanya; Johnson, Hillary C.; Perova, Elizaveta";http://documents.worldbank.org/curated/en/193531533794454056/Does-access-to-preschool-increase-women-s-employment;Care, Employment Access & Opportunities, Basic Services;
Preschool Availability and Female Labor Force Participation: Evidence from Indonesia;At 50.9 percent, female labor force participation in Indonesia is far below the regional average of 60.8 percent. Is it being hindered by a lack of affordable childcare services in the country? This paper exploits the joint variations in preschool age eligibility and access to preschool across regions and over years in a difference-in-difference-in-differences framework. With a longitudinal survey that tracks individuals for an average of 22 years, a panel of mothers was constructed to estimate the elasticity of maternal employment to preschool access. The analysis finds that an additional public preschool per 1,000 children increases the work participation of mothers of preschool age eligible children by 11-16 percent from the baseline mean. Private preschools do not increase work participation at the extensive margin, but they increase the likelihood of holding a second job. The availability of preschools induces mothers to informal sector occupations that do not require full-time commitments.;Access to Jobs, Access to and Use of Services;Southeast Asia;Working paper;World Bank Group;Jan-19;"Halim, Daniel Zefanya; Johnson, Hillary C.; Perova, Elizaveta";http://documents.worldbank.org/curated/en/393431561484915075/Preschool-Availability-and-Female-Labor-Force-Participation-Evidence-from-Indonesia;Care, Employment Access & Opportunities, Basic Services;
How to Better Capture WomenŐs Agency Through Decision-making Measures: Five Tips from Research in the Philippines;Accurately measuring and understanding agency, or oneŐs ability to make choices and achieve desired outcomes can support the design and targeting of effective development interventions, as well as tracking their impacts. To maximize the effectiveness of development interventions, it is critical to understand womenŐs agency and how agency may influence the effectiveness of program design. WomenŐs decision-making in the household is frequently captured in surveys as a proxy for womenŐs agency. Using new analysis from a spousal survey with farming households in the Philippines, the authors explore which survey questions can accurately capture the difference in agency of women.;Leadership;Southeast Asia;Brief;World Bank Group;Jan-21;"Jarvis,Forest Brach; Johnson,Hillary C.;ĘPerova,Elizaveta";http://documents.worldbank.org/curated/en/799341619600129275/How-to-Better-Capture-Women-s-Agency-Through-Decision-making-Measures-Five-Tips-from-Research-in-the-Philippines;Leadership & Management, Other;
What do We Know About Interventions to Increase WomenŐs Economic Participation and Empowerment in South Asia?: Self-help Group Programs;The World BankŐs South Asia Region Gender Innovation Lab (SARGIL) is conducting a systematic review and meta-analysis of interventions with direct or indirect effects on measures of womenŐs economic empowerment. The review focuses on changes in labor market outcomes, income, and other empowerment indicators. The goal is to document what has and has not worked for women in the region (covering all countries: Afghanistan, Bangladesh, Bhutan, India, Maldives, Nepal, Pakistan, and Sri Lanka), understand the types of interventions implemented, and identify gaps in knowledge and action. Interventions are organized into five categories: Skills, Assets, Financial Products, Care, and Empowerment. This brief summarizes the main findings from the financial products category.;Access to Jobs;South Asia;Review;World Bank Group;Jan-22;"Javed, Amna; Zahra, Najaf; Mu–oz-Boudet, Ana Maria";https://openknowledge.worldbank.org/handle/10986/39646;Economic Empowerment, Employment Access & Opportunities, Financial Services & Inclusion;
Enterprising Women: Toward Equal Business Opportunity in Southeast Asia;This report explores gender differences in entrepreneurship for micro, small, and medium enterprises (MSME) in Southeast Asia. It analyzes data from five Southeast Asian countries: Cambodia, Indonesia, Lao PeopleŐs Democratic Republic (Lao PDR), Timor-Leste, and Vietnam, and reviews existing evidence from across the region. Using data from household and firm-level surveys, the report establishes stylized facts about gender gaps in participation in entrepreneurship and in business performance for two types of businesses: microbusinesses and small and medium enterprises (SME). Microbusinesses include businesses with less than 5 employees, and SMEs include businesses with between 5 and 100 employees. This study focuses on MSMEs because they account for 97 percent of all enterprises in Asia-Pacific Economic Cooperation countries and because the ownerŐs gender may have a greater influence on the outcomes of MSMEs than large businesses, which are more likely to have multiple owners or be part of a larger corporation. After establishing stylized facts about gender gaps in entrepreneurship, the report employs various econometric. techniques to understand better the factors that are associated with these gaps. Finally, the report makes a case for policy action and presents a review of global evidence on how these factors are best addressed.;Other;Southeast Asia;Report;World Bank Group;Jan-21;"Johnson, Hillary C.; Perova, Elizaveta; Dervisevic, Ervin; Gonzalez Pulgarin, Jhon Jair; Jarvis, Forest Brach; Krylova, Yulia; Liaqat, Sundas; Pancharoen, Akaravuit; Spevack, Alexander Matthew; Trujillo, JosŽ Daniel; Yue Wu";http://hdl.handle.net/10986/37935;Entrepreneurship, Productivity;
Urban Design, Public Spaces, and Social Cohesion: Evidence from a Virtual Reality Experiment;Public spaces can be an instrument to increase social cohesion, yet they are often underutilized. This paper presents findings from a randomized virtual reality experiment with more than 2,000 participants in Karachi, Pakistan. The paper investigates the relationship between urban design, willingness to use public spaces, and social cohesion. The findings show that exposure to a two-and-a-half-minute-long virtual reality experience featuring various urban design and social diversity elements has a statistically significant impact. In particular, improvements in the design of a public park through the virtual reality experience increased the park's perceived attractiveness and participants' willingness to use it. Exposure to diverse social groups in the virtual reality experience, by itself, had mixed impacts on social cohesion indicators such as trust and perception of and willingness to interact with outgroups. The impacts varied by ethnic affiliation, income, sex, and education level. This may be partly explained by the segregated nature of Karachi and the high prevalence of mistrust of outgroups. The paper illustrates how modern technology can be used as an effective, low-cost tool for diagnosing social phenomena, soliciting feedback about urban interventions for inclusive design, and promoting social contact.;Other;South Asia;Working paper;World Bank Group;Jan-20;"Llopis Abella, Jimena; Fruttero, Anna; Tas, Emcet Oktay; Taj, Umar";https://doi.org/10.1596/1813-9450-9407;Digital Technologies & Services, Other;
